Pagenum,Response,Number of people / Jinhao,House in / Jinhao,Number of people / Max,House in / Max,Site(AB:1/CS:2),identical?,disagreement on people,disagreement on in/out
659,,1,1,1,1,1,1,,
660,,1,1,1,1,2,1,,
661,,1,0,1,0,1,1,,
662,,2,0,2,0,2,1,,
663,,1,0,1,0,1,1,,
664,,2,0,2,0,2,1,,
665,,1,1,1,1,1,1,,
666,,1,0,1,0,2,1,,
667,,1,0,1,0,1,1,,
668,,2,1,2,0,2,0,,1
669,,1,0,1,0,1,1,,
670,,1,0,1,0,2,1,,
671,,5,0,5,0,1,1,,
672,,1,0,1,0,2,1,,
673,,1,0,1,0,1,1,,
674,,2,1,2,1,2,1,,
675,,1,0,1,0,1,1,,
676,,1,0,1,0,2,1,,
677,,1,0,1,0,1,1,,
678,,2,1,2,1,2,1,,
679,,1,0,1,0,1,1,,
680,,2,0,2,0,2,1,,
681,,1,1,1,1,1,1,,
682,,2,0,2,0,2,1,,
683,,2,1,2,0,1,0,,1
684,,1,0,1,0,2,1,,
685,,1,0,1,0,1,1,,
686,,0,0,0,0,2,1,,
687,,1,0,1,1,1,0,,1
688,,1,0,1,0,2,1,,
689,,1,0,1,1,1,0,,1
690,,3,0,3,0,2,1,,
691,,1,0,1,0,1,1,,
692,,2,0,2,0,2,1,,
693,,1,0,1,0,1,1,,
694,,3,0,3,0,2,1,,
695,,4,0,4,0,1,1,,
696,,1,0,1,0,2,1,,
697,,1,0,1,1,1,0,,1
698,,1,0,1,0,2,1,,
699,,1,0,1,0,1,1,,
700,,1,1,1,1,2,1,,
701,,1,0,1,0,1,1,,
702,,2,0,2,0,2,1,,
703,,1,1,1,1,1,1,,
704,,0,0,0,1,2,0,,1
705,,3,0,3,0,1,1,,
706,,0,0,0,0,2,1,,
707,,1,0,1,0,1,1,,
708,,7,0,7,0,2,1,,
709,,1,0,1,0,1,1,,
710,,1,1,1,1,2,1,,
711,,1,0,1,0,1,1,,
712,,1,0,1,0,2,1,,
713,,2,0,2,1,1,0,,1
714,,2,0,2,0,2,1,,
715,,1,0,1,0,1,1,,
716,,1,0,1,0,2,1,,
717,,2,0,2,0,1,1,,
718,,1,0,1,0,2,1,,
719,,2,0,2,1,1,0,,1
720,,1,0,1,0,2,1,,
721,,1,0,1,0,1,1,,
722,,0,1,0,1,2,1,,
723,,1,1,1,0,1,0,,1
724,,2,1,2,1,2,1,,
725,,1,1,1,1,1,1,,
726,,1,0,1,0,2,1,,
727,,1,0,1,0,1,1,,
728,,1,0,1,0,2,1,,
729,,1,1,1,1,1,1,,
730,,2,1,2,1,2,1,,
731,,1,0,1,0,1,1,,
732,,0,1,0,1,2,1,,
733,,1,0,1,0,1,1,,
734,,3,0,3,1,2,0,,1
735,,1,0,1,0,1,1,,
736,,2,0,2,0,2,1,,
737,,1,0,1,0,1,1,,
738,,1,0,1,0,2,1,,
739,,1,0,1,0,1,1,,
740,,1,1,1,1,2,1,,
741,,2,0,2,0,1,1,,
742,,1,0,1,0,2,1,,
743,,1,1,1,0,1,0,,1
744,,2,0,2,0,2,1,,
745,,1,0,1,0,1,1,,
746,,1,0,1,0,2,1,,
747,,1,0,1,0,1,1,,
748,,1,0,1,0,2,1,,
